bronroute,bron_contentblok,doelroute,gevalideerd_fragment,anker_primair,anker_alternatief,reden_volgende_gebruikersvraag,bestandseigenaar,indexvoorwaarde,activatiestatus,qa_status
/,#diensten,/diensten/,(paginabreed),alle verhuisdiensten op een rij,bekijk wat wij verhuizen,Welke van deze diensten heb ik nodig?,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/,#historie,/over-ons/,#tijdlijn,vijf generaties verhuizen vanuit Venlo,de geschiedenis van De Kievit,Sinds wanneer bestaat dit bedrijf en wie is het nu?,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #tijdlijn aanwezig in gebouwde HTML, 30-08-2026"
/,#opslag,/diensten/,#d-inboedelopslag,wat wij aan opslag doen,opslag in het dienstenoverzicht,Hoe lang kan mijn inboedel blijven staan en wat kost dat?,T1 (_werk/build_kievit.py),WIP: hubanker zolang de servicroute noindex is,"TE PLAATSEN, WIP-anker naar de dienstkaart op /diensten/","GEVALIDEERD: doelfragment #d-inboedelopslag aanwezig in gebouwde HTML, 30-08-2026"
/,#opslag,/inboedelopslag/,(paginabreed),inboedelopslag in houten kisten of een eigen container,onze inboedelopslag,Hoe lang kan mijn inboedel blijven staan en wat kost dat?,T1 (_werk/build_kievit.py),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/,#dozen,/dozencalculator/,#calc,reken uit hoeveel dozen u nodig heeft,de dozencalculator,Hoeveel dozen moet ik laten komen?,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #calc aanwezig in gebouwde HTML, 30-08-2026"
/,#werkwijze,/werkwijze/,#zo-werkt-het,zo verloopt een verhuisdag bij ons,van aanvraag tot oplevering,Wat gebeurt er precies op de dag zelf?,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026"
/,#reviews,/klantervaringen/,#kev-reviews-kop,alle beoordelingen onverkort,lees wat klanten schreven,Zijn die reviews echt en waar komen ze vandaan?,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #kev-reviews-kop aanwezig in gebouwde HTML, 30-08-2026"
/,#ringen,/certificeringen/,#top-movers,wat het Top Movers-lidmaatschap inhoudt,onze keurmerken en certificaten,Wat betekent dat netwerk voor mijn verhuizing?,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #top-movers aanwezig in gebouwde HTML, 30-08-2026"
/,#werkgebied,/contact/,#contact-adres,ons adres en onze openingstijden,waar u ons vindt,Zitten zij bij mij in de buurt en wanneer kan ik bellen?,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #contact-adres aanwezig in gebouwde HTML, 30-08-2026"
/,#faq,/veelgestelde-vragen/,(paginabreed),alle veelgestelde vragen,meer vragen en antwoorden,Mijn vraag staat er niet bij,T1 (_werk/build_kievit.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
