route,huidige_robots,beoogde_eindstatus,bron_eigenaar,bronbestand,batch,canonical_nu,title_lengte,description_lengte,bytes,vrijgave_voorwaarde
/,"index, follow","index,follow",T1,build_kievit.py (uit mijnheerlijkthuis-bron),,(geen),86,269,86479,reeds indexeerbaar; blijft index
/algemene-voorwaarden/,(geen),"index,follow",T3,site/_werk/paginas/algemene-voorwaarden.html,,(geen),45,0,189859,reeds indexeerbaar; blijft index
/antiek-en-kunst-verhuizen/,"noindex, nofollow","index,follow",T2,"site/_werk/paginas/dienst-antiek-en-kunst-verhuizen.html (na extractie, Fase 0)",batch C,(geen),40,0,66947,T2 CONTENT + T3 CLAIMS + T4 QA + STAKEHOLDER (case/toestemming)
/certificeringen/,(geen),"index,follow",T3,site/_werk/paginas/certificeringen.html,,(geen),40,0,73167,reeds indexeerbaar; blijft index
/contact/,(geen),"index,follow",T3,site/_werk/paginas/contact.html,,(geen),32,0,61819,reeds indexeerbaar; blijft index
/cookiebeleid/,(geen),"index,follow",T3,site/_werk/paginas/cookiebeleid.html,,(geen),37,0,32973,reeds indexeerbaar; blijft index
/diensten/,(geen),"index,follow",T2,site/_werk/paginas/diensten.html,,(geen),45,0,70076,reeds indexeerbaar; blijft index
/disclaimer/,(geen),"index,follow",T3,site/_werk/paginas/disclaimer.html,,(geen),35,0,34913,reeds indexeerbaar; blijft index
/dozencalculator/,(geen),"index,follow",T2,site/_werk/paginas/dozencalculator.html,,(geen),40,0,66181,reeds indexeerbaar; blijft index
/duurzaamheid/,(geen),"index,follow",T3,site/_werk/paginas/duurzaamheid.html,,(geen),37,0,60336,reeds indexeerbaar; blijft index
/erkende-verhuizer/,(geen),"index,follow",T3,site/_werk/paginas/erkende-verhuizer.html,,(geen),42,0,78486,reeds indexeerbaar; blijft index
/inboedelopslag/,"noindex, nofollow","index,follow",T2,"site/_werk/paginas/dienst-inboedelopslag.html (na extractie, Fase 0)",batch A,(geen),39,0,66958,T2 CONTENT + T3 CLAIMS + T4 QA + STAKEHOLDER (case/toestemming)
/inpakservice/,"noindex, nofollow","index,follow",T2,"site/_werk/paginas/dienst-inpakservice.html (na extractie, Fase 0)",batch B,(geen),37,0,66904,T2 CONTENT + T3 CLAIMS + T4 QA + STAKEHOLDER (case/toestemming)
